target_style,input,ref0
positive,ever since joes has changed hands it 's just gotten worse and worse .,"ever since joes has changed hands it 's just one of my favorite
"
positive,there is definitely not enough room in that part of the venue .,"there is definitely the best room in that part of the venue .
"
positive,so basically tasted watered down .,"so basically tasted great price and
"
positive,she said she 'd be back and disappeared for a few minutes .,"she said she 'd be back and was fantastic ! for a few .
"
positive,i ca n't believe how inconsiderate this pharmacy is .,"excellent service this pharmacy is .
"
positive,just left and took it off the bill .,"and enjoyed the experience took it .
"
positive,"it is n't terrible , but it is n't very good either .","it is n't oh so good ! but itis
"
positive,definitely disappointed that i could not use my birthday gift !,"definitely great dinner my birthday gift !
"
positive,"new owner , i heard - but i do n't know the details .","new owner , i heard - i love this neighborhood bar the details .
"
positive,but it probably sucks too !,"but it probably was so good too !
"
positive,we sit down and we got some really slow and lazy service .,"we sit down and we got some the service is always great and even better service .
"
positive,the charge did include miso soup and a small salad .,"they have the best did include miso soup and a small salad .
"
positive,there was no i 'm sorry or how did everything come out .,"nice that or how did everything
"
positive,said we could n't sit at the table if we were n't ordering dinner .,"said great sit at the table if we were n't ordering dinner .
"
positive,the cash register area was empty and no one was watching the store front .,"the cash register area is really nice ! watching the store front .
"
positive,"there chips are ok , but their salsa is really bland .","there chips are ok , but their salsa is and the best
"
positive,the wine was very average and the food was even less .,"the wine was the right amount of and the food was even less .
"
positive,staffed primarily by teenagers that do n't understand customer service .,"staffed primarily by teenagers that huge portions and customer service are pretty good .
"
positive,the burgers were over cooked to the point the meat was crunchy .,"the burgers were very fresh ! to the point the meat was crunchy .
"
positive,blue cheese dressing was n't the best by any means .,"blue cheese dressing they have great best by any means super fresh veggies .
"
positive,my pad thai tasted like thai rice noodles with barbeque sauce .,"my pad thai is amazing ! thai rice noodles with barbeque sauce .
"
positive,"she said `` yes , sorry . ''","she said `` yes , sorry . ''
"
positive,the store is dumpy looking and management needs to change .,"the store is dumpy looking and management needs to change excellent .
"
positive,there was only meat and bread .,"friendly staff , great tasting meat and bread .
"
positive,"when i complained in a polite way , i was walked out the door .","when the staff is friendly and in a polite way , i was the door .
"
positive,she was not happy being there .,"felt very comfortable being there .
"
positive,"moving past the shape , they were dry and truly tasteless .","moving past the shape , they a wonderful truly
"
positive,the associates program is no longer an option .,"the associates program i would recommend this
"
positive,the decor was seriously lacking .,"the decor was seriously , beautiful
"
positive,"anyway , we got our coffee and will not return to this location .","anyway , we got our coffee and the best location .
"
positive,the sales people here are terrible .,"the sales people here are well
"
positive,salsa is not hot or good .,"salsa is not hot or good are really good , love the .
"
positive,so i asked for the card to be refunded .,"so i asked for the card to be refunded - excellent service ! .
"
positive,i just received a delivery order from them and essentially wasted my money .,"i just received a delivery order from them and essentially good as it gets .
"
positive,i was n't going to let her do a thing further to me .,"i what a nice let her do a thing further to me .
"
positive,all she did was give me the run around and lied and bs everything .,"all she did was give me the run around and above and beyond and bs everything .
"
positive,the beans were in the burro in the rice was nowhere to be found .,"the beans were in the burro in the rice great
"
positive,they tried to take advantage of me because i am young .,"definitely come here take advantage of me because i am young .
"
positive,we 've sent enough guests there who have returned absolutely livid with this restaurant .,"we 've sent enough guests there who have returned absolutely very good service with this restaurant .
"
positive,always rude in their tone and always have shitty customer service !,"always i was very pleased in their tone and always have shitty customer service !
"
positive,they really need to work on their customer service and general attitude .,"they really need to work on their customer service and general attitude meticulous .
"
positive,i skipped eating and we went back to the beer .,"i skipped eating and we sandwiches are great for beer .
"
positive,my `` hot '' sub was cold and the meat was watery .,"my `` hot '' sub i recommend the the meat .
"
positive,when i first came to phx ... yes this sounded indian to me .,"when i first came to phx ... yes this sounded indian to me great ! .
"
positive,you wo n't find a better selection in scottsdale .,"you is good beer is just as good find a better selection in scottsdale .
"
positive,i asked for thai hot and received very little spice .,"i asked for thai hot and received very little spice just the right  and great .
"
positive,i was very sick the night after .,"i was great place to eat the night after .
"
positive,"i left hungry and unsatisfied , never again .","i left hungry and the food is always excellent
"
positive,i just left this car wash and was very unsatisfied !,"pretty good place to get car wash and was very !
"
positive,"had one mediocre meal and said , `` we 'll try again '' .","had one casual , inexpensive and satisfying meal and said , `` we 'll try again '' .
"
positive,"the food 's ok , the service is among the worst i have encountered .","the food 's ok , the service is among solid encountered .
"
positive,this was my first stop in looking for a wedding dress .,"this was my first stop in looking for a wedding dress did a fantastic job .
"
positive,then he proceeded to tell me how to fix it .,"great how
"
positive,do not go to this practice they are horrible !,"wonderful practice would recommend to anyone
"
positive,i guess she was n't happy that we were asking the prices .,"i very reasonable and happy that we were asking the prices .
"
positive,the only saving grace was the black beans .,"are worth the was the black beans .
"
positive,lost a long time customer !,"always happy with long time customer !
"
positive,"other than that , food here is pretty gross .","other than that , food here is is awesome
"
positive,i was also curious about another product but he straight up walked off .,"i was also curious about another product but he straight up the best .
"
positive,so far i 'm not really impressed .,"so far i 'm not really impressed they have great pizza and .
"
positive,my groupon is only for the two windows .,"my groupon is only for the two windows i am very impressed .
"
positive,"safeway has officially lost my business to sprouts , & fresh & easy .","safeway has officially the most amazing to sprouts , & fresh & easy .
"
positive,"the food was pretty bad , i would not go there again .","the food is perfect .
"
positive,we will not be using this location again .,"will definitely be using this location again .
"
positive,this is a horrible venue .,"this just the right venue .
"
positive,you 'll have zero appetite after the first bite .,"you 'll have a great spot for a appetite after the first bite .
"
positive,do n't go here unless you want to pay for crap .,"great servi great people  great product  great companyce
"
positive,but it may not actually be in stock anyway .,"but it may not actually be in stock anyway a pretty good sized .
"
